region,mean_SCA,mean_rSCI,mean_HDDS_score,mean_LhCSI_score,mean_SERS_score
BATHA,45.03457943925233,5.83613707165109,5.557009345794392,0.8130841121495327,38.10331872260488
GUÉRA,46.03216583273767,5.190850607576841,5.328091493924232,0.5832737669764118,37.879248011569054
KANEM,45.353727714748786,4.726904376012966,6.289303079416531,0.3978930307941653,32.95094031071137
LAC,57.752115655853316,5.4724964739069115,7.253878702397743,0.685472496473907,33.86236559139785
OUADDAÏ,45.15786637931034,5.4342672413793105,5.487068965517241,0.3642241379310345,40.41511500547645
SALAMAT,52.19166666666667,4.04375,6.010416666666667,0.1125,37.69874476987448
WADI FIRA,38.95454545454545,4.181818181818182,4.818181818181818,0.36363636363636365,40.18181818181818
BARH EL GAZEL,42.78541666666667,6.864166666666667,5.7058333333333335,0.745,31.102263202011734
ENNEDI EST,45.27947598253275,14.209606986899564,5.895196506550218,0.07860262008733625,25.344978165938866
SILA,43.73094170403587,7.423766816143497,5.360986547085202,0.8408071748878924,35.20422535211268
